Host,Date,Verb,Path,Type,HTTP Response
64.242.88.10,1078675549,GET,/twiki/bin/edit/Main/Double_bounce_sender?topicparent=Main.ConfigurationVariables,document,401
64.242.88.10,1078675611,GET,/twiki/bin/rdiff/TWiki/NewUserTemplate?rev1=1.3&rev2=1.2,document,200
64.242.88.10,1078675802,GET,/mailman/listinfo/hsdivision,document,200
64.242.88.10,1078675918,GET,/twiki/bin/view/TWiki/WikiSyntax,document,200
64.242.88.10,1078676455,GET,/twiki/bin/view/Main/DCCAndPostFix,document,200
64.242.88.10,1078676592,GET,/twiki/bin/oops/TWiki/AppendixFileSystem?template=oopsmore&param1=1.12&param2=1.12,document,200
64.242.88.10,1078676656,GET,/twiki/bin/view/Main/PeterThoeny,document,200
64.242.88.10,1078676956,GET,/twiki/bin/edit/Main/Header_checks?topicparent=Main.ConfigurationVariables,document,401
64.242.88.10,1078677029,GET,/twiki/bin/attach/Main/OfficeLocations,document,401
64.242.88.10,1078677108,GET,/twiki/bin/view/TWiki/WebTopicEditTemplate,document,200
64.242.88.10,1078677170,GET,/twiki/bin/view/Main/WebChanges,document,200
64.242.88.10,1078677233,GET,/twiki/bin/edit/Main/Smtpd_etrn_restrictions?topicparent=Main.ConfigurationVariables,document,401
64.242.88.10,1078677319,GET,/mailman/listinfo/business,document,200
64.242.88.10,1078677382,GET,/twiki/bin/rdiff/Main/WebIndex?rev1=1.2&rev2=1.1,document,200
64.242.88.10,1078677447,GET,/twiki/bin/view/TWiki/DontNotify,document,200
64.242.88.10,1078677564,GET,/twiki/bin/view/Main/TokyoOffice,document,200
64.242.88.10,1078677834,GET,/twiki/bin/view/Main/MikeMannix,document,200
64.242.88.10,1078677956,GET,/twiki/bin/attach/Main/PostfixCommands,document,401
64.242.88.10,1078678032,GET,/robots.txt,text,200
64.242.88.10,1078678066,GET,/twiki/bin/rdiff/Know/ReadmeFirst?rev1=1.5&rev2=1.4,document,200
64.242.88.10,1078678144,GET,/twiki/bin/view/Main/TWikiGroups?rev=1.2,document,200
64.242.88.10,1078678254,GET,/twiki/bin/rdiff/Main/ConfigurationVariables,document,200
64.242.88.10,1078678355,GET,/twiki/bin/edit/Main/Flush_service_name?topicparent=Main.ConfigurationVariables,document,401
